,molecule_chembl_id,EC50,units,smiles,pEC50
0,CHEMBL4441395,40.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4[C@H](O)[C@H](n5cnc6c(N)ncnc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3O)c(=O)[nH]1,7.3979400086720375
1,CHEMBL4445083,50.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]4C[C@H](n5cnc6c(N)nc(F)nc65)O[C@@H]4COP(=O)(O)O[C@@H]2[C@@H]3F)c(=O)[nH]1,7.301029995663981
2,CHEMBL4573882,60.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,7.221848749616356
3,CHEMBL4588248,130.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(=O)[nH]c(O)nc21,6.886056647693163
4,CHEMBL4566810,230.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2nnc3c(N)ncnc32)[C@@H]4O)c(=O)[nH]1,6.638272163982407
5,CHEMBL4465353,300.0,nM,CSc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@@H]3[C@H](O)[C@@H](COP(=O)(O)O[C@H]2[C@H]1O)O[C@H]3n1cnc2c(=O)[nH]c(N)nc21,6.522878745280337
6,CHEMBL4566128,320.0,nM,NC(=O)c1ncn([C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@H](O)[C@@H](COP(=O)(O)O[C@H]3[C@H]2O)O[C@H]4n2cnc3c(=O)[nH]c(N)nc32)c1N,6.494850021680094
7,CHEMBL4457089,390.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)OC[C@@H]4[C@@H](COP(=O)(S)O[C@H]3[C@H]2F)C[C@H]4n2cnc3c(N)n4ccnc4nc32)c(=O)[nH]1,6.4089353929735005
8,CHEMBL4472356,740.0,nM,C=C1[C@@H]2COP(O)(=S)O[C@@H]3[C@H](F)[C@@H](CO[P@](O)(=S)O[C@H]2[C@@H](F)[C@@H]1n1cnc2c(N)ncnc21)O[C@H]3n1cnc2c(=O)[nH]c(N)nc21,6.130768280269024
9,CHEMBL4556336,830.0,nM,NC(=O)c1ncn([C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]4O)c1N,6.080921907623926
10,CHEMBL4441285,872.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1CCCNC(=O)OCc1ccccc1,6.059483515067432
11,CHEMBL4440230,1140.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OCCCN3CCOCC3)c2n1CCCNC(=O)OCc1ccccc1,5.943095148663527
12,CHEMBL4649644,1150.0,nM,COc1cc2sc(C(=O)C3CC3C(=O)O)cc2nc1OC,5.939302159646388
13,CHEMBL4456973,1240.0,nM,CCn1nc(C)cc1C(=O)Nc1nc2cc(C(N)=O)cc(OC)c2n1CCCNC(=O)OC(C)(C)C,5.906578314837764
14,CHEMBL4645287,1750.0,nM,CCC(CC(=O)c1cc2nc(OC)c(OC)cc2s1)C(=O)O,5.756961951313706
15,CHEMBL4553050,1800.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]4[C@@H](COP(=O)(O)O[C@@H]2[C@@H]3O)O[C@@H](n2cnc3c(O)nc(O)nc32)[C@@H]4O)c(=O)[nH]1,5.7447274948966935
16,CHEMBL4516456,1900.0,nM,COCCCOc1cc(C(N)=O)cc2nc(NC(=O)c3ccccn3)n(CCCNC(=O)OCc3ccccc3)c12,5.721246399047171
17,CHEMBL4520179,2200.0,nM,COc1cc(C(N)=O)cc2nc(NC(=O)c3cccnn3)n(CCCNC(=O)OCc3ccccc3)c12,5.657577319177793
18,CHEMBL4540261,2850.0,nM,COc1cc(C(N)=O)cc2nc(NC(=O)c3cccnn3)n(CCCCNC(=O)OC(C)(C)C)c12,5.54515513999149
19,CHEMBL4445004,3000.0,nM,COc1cc(C(N)=O)cc2nc(NC(=O)c3ccccn3)n(CCCCNC(=O)OC(C)(C)C)c12,5.522878745280337
20,CHEMBL4534434,3300.0,nM,CCCn1c(NC(=O)c2cc(C)nn2CC)nc2cc(C(N)=O)ccc21,5.481486060122112
21,CHEMBL4590775,4500.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@@H](CO[P@@](=O)(S)O[C@@H]1[C@@H]2F)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3F,5.346787486224656
22,CHEMBL4645446,5510.0,nM,COc1cc2cc(C(=O)CCC(=O)O)sc2nc1OC,5.2588484011482155
23,CHEMBL4558492,5800.0,nM,CCN(CC)CC.CCN(CC)CC.Nc1nc2c(ncn2[C@@H]2O[C@@H]3CO[P@@](=O)(S)O[C@H]4[C@H]5OC[C@]4(CO[P@@](=O)(S)O[C@H]3[C@H]2O)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1,5.236572006437063
24,CHEMBL4469904,8280.0,nM,COc1cc(C(N)=O)cc2nc(NC(=O)c3ccccn3)n(CCCNC(=O)OCc3ccccc3)c12,5.081969663215119
25,CHEMBL4467143,9500.0,nM,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(S)O[C@H]4[C@H]5OC[C@]4(COP(=O)(S)O[C@@H]2[C@@H]3F)O[C@H]5n2cnc3c(N)ncnc32)c(=O)[nH]1,5.022276394711152
26,CHEMBL4649134,10100.0,nM,COc1cc2sc(C(=O)C[C@H](C)C(=O)O)nc2nc1OC,4.995678626217358
27,CHEMBL4461783,10200.0,nM,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@@H](CO[P@@](=O)(S)O[C@@H]1C2)O[C@@H](n1cnc2c(N)ncnc21)[C@@H]3F,4.991399828238082
